-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.49%      54.683ms        48.58%        5.422s       2.149ms        3.434s        64.25%        3.435s       1.361ms          2523  
                            Memcpy H2D (HOST -> DEVICE)         0.00%       0.000us         0.00%       0.000us       0.000us        1.709s        31.97%        1.709s       2.269ms           753  
                            Memcpy D2H (DEVICE -> HOST)         0.00%       0.000us         0.00%       0.000us       0.000us        1.675s        31.33%        1.675s       3.959ms           423  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us        1.372s        25.67%        1.372s       1.425ms           963  
                                 _xpu_C::fp8_gemm_w8a16         0.19%      20.793ms         0.50%      56.013ms      60.424us        1.329s        24.87%        1.329s       1.434ms           927  
                                _vllm_fa2_C::varlen_fwd         0.02%       2.547ms         0.13%      14.236ms     189.808us     180.435ms         3.38%     180.686ms       2.409ms            75  
compat::experimental::detail::KernelFunctor<&(void c...         0.00%       0.000us         0.00%       0.000us       0.000us     178.504ms         3.34%     178.504ms       3.500ms            51  
                                zeMemGetAllocProperties         0.01%       1.477ms         0.01%       1.477ms       0.143us     163.702ms         3.06%     163.702ms      15.898us         10297  
                                  _xpu_C::gdn_attention         0.06%       7.189ms         0.75%      84.026ms     583.516us     150.731ms         2.82%     159.206ms       1.106ms           144  
           gdn::ChunkFwdOKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us      62.083ms         1.16%      62.083ms     431.131us           144  
                         zeCommandListAppendSignalEvent         0.00%      33.090us         0.00%      33.090us       0.102us      60.693ms         1.14%      60.693ms     187.325us           324  
                                 _xpu_C::int8_gemm_w8a8         0.01%     827.158us         0.02%       1.995ms      55.405us      42.836ms         0.80%      42.836ms       1.190ms            36  
                          Memcpy D2D (DEVICE -> DEVICE)         0.00%       0.000us         0.00%       0.000us       0.000us      39.643ms         0.74%      39.643ms      61.177us           648  
gdn::tiled_kernel_launcher<sycl::_V1::detail::half_i...         0.00%       0.000us         0.00%       0.000us       0.000us      34.415ms         0.64%      34.415ms     238.996us           144  
                                 zeEventHostSynchronize        45.10%        5.033s        45.10%        5.033s       5.441ms      29.029ms         0.54%      29.029ms      31.382us           925  
